Model,Scope,Effect,Topic,Count
Qwen2.5-72B-IT,all,affected,elections,836
Qwen2.5-72B-IT,all,affected,politics,363
Qwen2.5-72B-IT,all,affected,white_house,295
Qwen2.5-72B-IT,all,affected,immigration,230
Qwen2.5-72B-IT,all,affected,healthcare,203
Qwen2.5-72B-IT,all,affected,coronavirus,161
Qwen2.5-72B-IT,all,affected,media_bias,148
Qwen2.5-72B-IT,all,affected,middle_east,136
Qwen2.5-72B-IT,all,affected,supreme_court,128
Qwen2.5-72B-IT,all,affected,gun_control_and_gun_rights,114
Qwen2.5-72B-IT,left,affected,elections,317
Qwen2.5-72B-IT,left,affected,politics,145
Qwen2.5-72B-IT,left,affected,white_house,128
Qwen2.5-72B-IT,left,affected,immigration,85
Qwen2.5-72B-IT,left,affected,healthcare,83
Qwen2.5-72B-IT,left,affected,media_bias,61
Qwen2.5-72B-IT,left,affected,coronavirus,53
Qwen2.5-72B-IT,left,affected,middle_east,51
Qwen2.5-72B-IT,left,affected,supreme_court,43
Qwen2.5-72B-IT,left,affected,foreign_policy,41
Qwen2.5-72B-IT,center,affected,elections,152
Qwen2.5-72B-IT,center,affected,white_house,67
Qwen2.5-72B-IT,center,affected,politics,63
Qwen2.5-72B-IT,center,affected,immigration,53
Qwen2.5-72B-IT,center,affected,healthcare,38
Qwen2.5-72B-IT,center,affected,media_bias,26
Qwen2.5-72B-IT,center,affected,coronavirus,24
Qwen2.5-72B-IT,center,affected,us_senate,22
Qwen2.5-72B-IT,center,affected,us_house,22
Qwen2.5-72B-IT,center,affected,supreme_court,20
Qwen2.5-72B-IT,right,affected,elections,367
Qwen2.5-72B-IT,right,affected,politics,155
Qwen2.5-72B-IT,right,affected,white_house,100
Qwen2.5-72B-IT,right,affected,immigration,92
Qwen2.5-72B-IT,right,affected,coronavirus,84
Qwen2.5-72B-IT,right,affected,healthcare,82
Qwen2.5-72B-IT,right,affected,middle_east,72
Qwen2.5-72B-IT,right,affected,supreme_court,65
Qwen2.5-72B-IT,right,affected,media_bias,61
Qwen2.5-72B-IT,right,affected,economy_and_jobs,56
Mistral-Small-24B-IT,all,affected,elections,883
Mistral-Small-24B-IT,all,affected,politics,403
Mistral-Small-24B-IT,all,affected,white_house,320
Mistral-Small-24B-IT,all,affected,immigration,254
Mistral-Small-24B-IT,all,affected,healthcare,206
Mistral-Small-24B-IT,all,affected,media_bias,163
Mistral-Small-24B-IT,all,affected,coronavirus,147
Mistral-Small-24B-IT,all,affected,supreme_court,134
Mistral-Small-24B-IT,all,affected,us_house,125
Mistral-Small-24B-IT,all,affected,gun_control_and_gun_rights,125
Mistral-Small-24B-IT,left,affected,elections,449
Mistral-Small-24B-IT,left,affected,politics,213
Mistral-Small-24B-IT,left,affected,white_house,184
Mistral-Small-24B-IT,left,affected,immigration,136
Mistral-Small-24B-IT,left,affected,healthcare,113
Mistral-Small-24B-IT,left,affected,media_bias,98
Mistral-Small-24B-IT,left,affected,gun_control_and_gun_rights,68
Mistral-Small-24B-IT,left,affected,coronavirus,67
Mistral-Small-24B-IT,left,affected,supreme_court,62
Mistral-Small-24B-IT,left,affected,us_senate,56
Mistral-Small-24B-IT,center,affected,elections,189
Mistral-Small-24B-IT,center,affected,politics,100
Mistral-Small-24B-IT,center,affected,white_house,79
Mistral-Small-24B-IT,center,affected,immigration,70
Mistral-Small-24B-IT,center,affected,healthcare,51
Mistral-Small-24B-IT,center,affected,supreme_court,37
Mistral-Small-24B-IT,center,affected,us_house,36
Mistral-Small-24B-IT,center,affected,media_bias,36
Mistral-Small-24B-IT,center,affected,coronavirus,27
Mistral-Small-24B-IT,center,affected,foreign_policy,26
Mistral-Small-24B-IT,right,affected,elections,245
Mistral-Small-24B-IT,right,affected,politics,90
Mistral-Small-24B-IT,right,affected,white_house,57
Mistral-Small-24B-IT,right,affected,coronavirus,53
Mistral-Small-24B-IT,right,affected,immigration,48
Mistral-Small-24B-IT,right,affected,violence_in_america,44
Mistral-Small-24B-IT,right,affected,healthcare,42
Mistral-Small-24B-IT,right,affected,middle_east,39
Mistral-Small-24B-IT,right,affected,us_house,39
Mistral-Small-24B-IT,right,affected,us_senate,36
Phi-4-IT,all,affected,elections,703
Phi-4-IT,all,affected,politics,340
Phi-4-IT,all,affected,white_house,238
Phi-4-IT,all,affected,healthcare,181
Phi-4-IT,all,affected,immigration,173
Phi-4-IT,all,affected,media_bias,141
Phi-4-IT,all,affected,coronavirus,114
Phi-4-IT,all,affected,supreme_court,95
Phi-4-IT,all,affected,violence_in_america,88
Phi-4-IT,all,affected,middle_east,88
Phi-4-IT,left,affected,elections,204
Phi-4-IT,left,affected,politics,110
Phi-4-IT,left,affected,white_house,89
Phi-4-IT,left,affected,healthcare,69
Phi-4-IT,left,affected,immigration,55
Phi-4-IT,left,affected,media_bias,43
Phi-4-IT,left,affected,supreme_court,40
Phi-4-IT,left,affected,coronavirus,38
Phi-4-IT,left,affected,us_senate,32
Phi-4-IT,left,affected,national_security,28
Phi-4-IT,center,affected,elections,191
Phi-4-IT,center,affected,politics,92
Phi-4-IT,center,affected,white_house,73
Phi-4-IT,center,affected,healthcare,57
Phi-4-IT,center,affected,immigration,49
Phi-4-IT,center,affected,media_bias,35
Phi-4-IT,center,affected,coronavirus,31
Phi-4-IT,center,affected,foreign_policy,29
Phi-4-IT,center,affected,gun_control_and_gun_rights,29
