bias_text,count,ratio,rank,input_media_bias,effect
center,355,0.38295577130528585,1,center,affected
left,349,0.37648327939590076,2,center,affected
right,223,0.2405609492988134,3,center,affected
center,139,0.3601036269430052,1,center,reversely_affected
left,136,0.35233160621761656,2,center,reversely_affected
right,111,0.28756476683937826,3,center,reversely_affected
right,1164,0.36580766813324955,1,center,unaffected
left,1013,0.31835323695788814,2,center,unaffected
center,1005,0.31583909490886236,3,center,unaffected
center,1057,0.381864161849711,1,left,affected
left,866,0.31286127167630057,2,left,affected
right,845,0.30527456647398843,3,left,affected
left,167,0.42493638676844786,1,left,reversely_affected
center,156,0.3969465648854962,2,left,reversely_affected
right,70,0.178117048346056,3,left,reversely_affected
right,584,0.43745318352059925,1,left,unaffected
left,465,0.34831460674157305,2,left,unaffected
center,286,0.21423220973782772,3,left,unaffected
left,783,0.45417633410672853,1,right,affected
center,600,0.3480278422273782,2,right,affected
right,341,0.19779582366589327,3,right,affected
left,8,0.36363636363636365,1,right,reversely_affected
center,8,0.36363636363636365,1,right,reversely_affected
right,6,0.2727272727272727,2,right,reversely_affected
right,1152,0.4189090909090909,1,right,unaffected
center,891,0.324,2,right,unaffected
left,707,0.2570909090909091,3,right,unaffected
