Model,MediaBias,Case,Count
GPT-4.1-IT,center,neutral,3477
GPT-4.1-IT,center,reversal,1023
GPT-4.1-IT,left,amplify,1625
GPT-4.1-IT,left,confirmation,806
GPT-4.1-IT,left,neutral,1660
GPT-4.1-IT,left,reversal,409
GPT-4.1-IT,right,amplify,2076
GPT-4.1-IT,right,confirmation,1314
GPT-4.1-IT,right,neutral,1092
GPT-4.1-IT,right,reversal,18
GPT-4.1-IT-HP,center,neutral,1086
GPT-4.1-IT-HP,center,reversal,187
GPT-4.1-IT-HP,left,amplify,252
GPT-4.1-IT-HP,left,confirmation,354
GPT-4.1-IT-HP,left,neutral,593
GPT-4.1-IT-HP,left,reversal,74
GPT-4.1-IT-HP,right,amplify,444
GPT-4.1-IT-HP,right,confirmation,470
GPT-4.1-IT-HP,right,neutral,347
GPT-4.1-IT-HP,right,reversal,12
Gemma-2-27B-IT,center,neutral,3184
Gemma-2-27B-IT,center,reversal,1316
Gemma-2-27B-IT,left,amplify,2768
Gemma-2-27B-IT,left,confirmation,584
Gemma-2-27B-IT,left,neutral,753
Gemma-2-27B-IT,left,reversal,395
Gemma-2-27B-IT,right,amplify,1726
Gemma-2-27B-IT,right,confirmation,2730
Gemma-2-27B-IT,right,neutral,22
Gemma-2-27B-IT,right,reversal,22
Gemma-2-27B-IT-HP,center,neutral,1023
Gemma-2-27B-IT-HP,center,reversal,250
Gemma-2-27B-IT-HP,left,amplify,558
Gemma-2-27B-IT-HP,left,confirmation,247
Gemma-2-27B-IT-HP,left,neutral,385
Gemma-2-27B-IT-HP,left,reversal,83
Gemma-2-27B-IT-HP,right,amplify,461
Gemma-2-27B-IT-HP,right,confirmation,795
Gemma-2-27B-IT-HP,right,neutral,15
Gemma-2-27B-IT-HP,right,reversal,2
Llama-3.3-70B-IT,center,neutral,2895
Llama-3.3-70B-IT,center,reversal,1506
Llama-3.3-70B-IT,left,amplify,1320
Llama-3.3-70B-IT,left,confirmation,352
Llama-3.3-70B-IT,left,neutral,2191
Llama-3.3-70B-IT,left,reversal,538
Llama-3.3-70B-IT,right,amplify,1252
Llama-3.3-70B-IT,right,confirmation,2895
Llama-3.3-70B-IT,right,neutral,87
Llama-3.3-70B-IT,right,reversal,167
Llama-3.3-70B-IT-HP,center,neutral,933
Llama-3.3-70B-IT-HP,center,reversal,340
Llama-3.3-70B-IT-HP,left,amplify,218
Llama-3.3-70B-IT-HP,left,confirmation,126
Llama-3.3-70B-IT-HP,left,neutral,772
Llama-3.3-70B-IT-HP,left,reversal,157
Llama-3.3-70B-IT-HP,right,amplify,377
Llama-3.3-70B-IT-HP,right,confirmation,800
Llama-3.3-70B-IT-HP,right,neutral,47
Llama-3.3-70B-IT-HP,right,reversal,49
Mistral-Small-24B-IT,center,neutral,2747
Mistral-Small-24B-IT,center,reversal,1753
Mistral-Small-24B-IT,left,amplify,2834
Mistral-Small-24B-IT,left,confirmation,252
Mistral-Small-24B-IT,left,neutral,1126
Mistral-Small-24B-IT,left,reversal,288
Mistral-Small-24B-IT,right,amplify,1505
Mistral-Small-24B-IT,right,confirmation,2979
Mistral-Small-24B-IT,right,neutral,16
Mistral-Small-24B-IT-HP,center,neutral,898
Mistral-Small-24B-IT-HP,center,reversal,375
Mistral-Small-24B-IT-HP,left,amplify,647
Mistral-Small-24B-IT-HP,left,confirmation,164
Mistral-Small-24B-IT-HP,left,neutral,397
Mistral-Small-24B-IT-HP,left,reversal,65
Mistral-Small-24B-IT-HP,right,amplify,467
Mistral-Small-24B-IT-HP,right,confirmation,788
Mistral-Small-24B-IT-HP,right,neutral,17
Mistral-Small-24B-IT-HP,right,reversal,1
Phi-4-IT,center,neutral,3074
Phi-4-IT,center,reversal,1327
Phi-4-IT,left,amplify,1480
Phi-4-IT,left,confirmation,2339
Phi-4-IT,left,neutral,230
Phi-4-IT,left,reversal,352
Phi-4-IT,right,amplify,1807
Phi-4-IT,right,confirmation,1241
Phi-4-IT,right,neutral,1027
Phi-4-IT,right,reversal,326
Phi-4-IT-HP,center,neutral,997
Phi-4-IT-HP,center,reversal,276
Phi-4-IT-HP,left,amplify,256
Phi-4-IT-HP,left,confirmation,684
Phi-4-IT-HP,left,neutral,264
Phi-4-IT-HP,left,reversal,69
Phi-4-IT-HP,right,amplify,211
Phi-4-IT-HP,right,confirmation,352
Phi-4-IT-HP,right,neutral,560
Phi-4-IT-HP,right,reversal,150
Qwen2.5-72B-IT,center,neutral,3424
Qwen2.5-72B-IT,center,reversal,977
Qwen2.5-72B-IT,left,amplify,2045
Qwen2.5-72B-IT,left,confirmation,839
Qwen2.5-72B-IT,left,neutral,1217
Qwen2.5-72B-IT,left,reversal,300
Qwen2.5-72B-IT,right,amplify,2524
Qwen2.5-72B-IT,right,confirmation,1723
Qwen2.5-72B-IT,right,neutral,154
Qwen2.5-72B-IT-HP,center,neutral,1052
Qwen2.5-72B-IT-HP,center,reversal,221
Qwen2.5-72B-IT-HP,left,amplify,371
Qwen2.5-72B-IT-HP,left,confirmation,340
Qwen2.5-72B-IT-HP,left,neutral,495
Qwen2.5-72B-IT-HP,left,reversal,67
Qwen2.5-72B-IT-HP,right,amplify,639
Qwen2.5-72B-IT-HP,right,confirmation,561
Qwen2.5-72B-IT-HP,right,neutral,73
