Model,MediaBias,Field,Value,Overrep
Qwen2.5-72B-Base,right,Topic,middle_east,16.26157332470055
Qwen2.5-72B-IT,lean_right,Topic,middle_east,13.813476126729139
Phi-4-IT,right,Topic,justice,11.621472053126729
Qwen2.5-1.5B-Base,right,Topic,role_of_government,11.11111111111111
Qwen2.5-7B-Base,lean_left,Topic,race_and_racism,10.574257425742575
Qwen2.5-7B-Base,lean_left,Topic,free_speech,10.574257425742575
GPT-4.1-mini-IT,right,Topic,nsa,9.788927335640137
Qwen2.5-72B-Base,lean_left,Topic,epa,9.615384615384615
Qwen2.5-14B-IT,right,Topic,general_news,8.984375
Qwen2.5-1.5B-Base,lean_right,Topic,role_of_government,8.73362445414847
Qwen2.5-1.5B-Base,left,Topic,nuclear_weapons,8.615625
Qwen2.5-1.5B-Base,lean_right,Topic,tea_party,8.323144104803493
Qwen2.5-3B-Base,right,Topic,religion_and_faith,8.216926869350862
Qwen2.5-32B-Base,lean_right,Topic,treasury,8.196721311475411
Qwen2.5-32B-Base,lean_right,Topic,domestic_policy,8.196721311475411
Qwen2.5-72B-IT,lean_right,Topic,terrorism,8.171352074966533
Qwen2.5-32B-Base,lean_right,Topic,epa,8.168032786885247
GPT-4.1-mini-IT,right,Topic,defense,8.086505190311417
Qwen2.5-0.5B-IT,lean_left,Topic,voting_rights_and_voter_fraud,7.817034700315458
Llama-3.1-70B-IT,lean_right,Topic,fiscal_cliff,7.730535615681944
Llama-3.1-70B-Base,lean_right,Topic,opioid_crisis,7.456603773584906
Qwen2.5-0.5B-IT,lean_right,Topic,russia,7.315746084089036
Qwen1.5-72B-IT,right,Topic,north_korea,7.293527803099361
Phi-4-IT,right,Topic,banking_and_finance,7.194244604316547
Qwen2.5-0.5B-Base,lean_right,Topic,family_and_marriage,7.194244604316547
Qwen2.5-0.5B-Base,lean_right,Topic,business,7.194244604316547
Qwen2.5-14B-IT,right,Topic,terrorism,7.187500000000001
Phi-4-IT,right,Topic,culture,7.10431654676259
Llama-3.3-70B-IT,lean_right,Topic,healthcare,7.090909090909092
Mistral-Small-24B-Base,lean_right,Topic,cybersecurity,7.027456647398843
Qwen2.5-0.5B-Base,lean_right,Topic,arts_and_entertainment,6.9352517985611515
Qwen2.5-32B-IT,lean_left,Topic,tea_party,6.932409012131715
Qwen2.5-3B-IT,lean_right,Topic,white_house,6.88695652173913
Mistral-Small-24B-IT,lean_left,Topic,veterans_affairs,6.838905775075988
Qwen2.5-7B-IT,lean_left,Topic,veterans_affairs,6.824000000000001
