model,bias,affected,unaffected,reversly_affected
Qwen2.5-72B-IT,left,2045,2056,300
Qwen2.5-72B-IT,lean_left,873,3314,214
Qwen2.5-72B-IT,center,912,3424,65
Qwen2.5-72B-IT,lean_right,2241,2159,1
Qwen2.5-72B-IT,right,2524,1877,0
Qwen2.5-72B-IT,all,157,813,0
Mistral-Small-24B-IT,left,2834,1378,288
Mistral-Small-24B-IT,lean_left,1316,2904,280
Mistral-Small-24B-IT,center,1298,2747,455
Mistral-Small-24B-IT,lean_right,1456,3039,5
Mistral-Small-24B-IT,right,1505,2995,0
Mistral-Small-24B-IT,all,39,647,0
Phi-4-IT,left,1480,2569,352
Phi-4-IT,lean_left,988,3049,364
Phi-4-IT,center,1284,3074,43
Phi-4-IT,lean_right,735,3117,549
Phi-4-IT,right,1807,2268,326
Phi-4-IT,all,22,1205,0
Llama-3.3-70B-IT,left,1320,2543,538
Llama-3.3-70B-IT,lean_left,922,2864,615
Llama-3.3-70B-IT,center,1207,2895,299
Llama-3.3-70B-IT,lean_right,1133,3111,157
Llama-3.3-70B-IT,right,1252,2982,167
Llama-3.3-70B-IT,all,13,1709,0
Gemma-2-27B-IT,left,2768,1335,393
Gemma-2-27B-IT,lean_left,1815,2246,435
Gemma-2-27B-IT,center,927,3182,386
Gemma-2-27B-IT,lean_right,1464,2926,106
Gemma-2-27B-IT,right,1724,2750,22
Gemma-2-27B-IT,all,278,653,0
GPT-4.1-IT,left,1625,2466,409
GPT-4.1-IT,lean_left,846,3441,213
GPT-4.1-IT,center,935,3477,88
GPT-4.1-IT,lean_right,1526,2948,26
GPT-4.1-IT,right,2076,2406,18
GPT-4.1-IT,all,119,1518,0
Qwen2.5-72B-IT-HP,left,371,835,67
Qwen2.5-72B-IT-HP,lean_left,164,1053,56
Qwen2.5-72B-IT-HP,center,204,1052,17
Qwen2.5-72B-IT-HP,lean_right,549,721,3
Qwen2.5-72B-IT-HP,right,639,634,0
Qwen2.5-72B-IT-HP,all,17,390,0
Mistral-Small-24B-IT-HP,left,647,561,65
Mistral-Small-24B-IT-HP,lean_left,280,928,65
Mistral-Small-24B-IT-HP,center,308,898,67
Mistral-Small-24B-IT-HP,lean_right,393,875,5
Mistral-Small-24B-IT-HP,right,467,805,1
Mistral-Small-24B-IT-HP,all,6,243,0
Phi-4-IT-HP,left,256,948,69
Phi-4-IT-HP,lean_left,207,996,70
Phi-4-IT-HP,center,274,997,2
Phi-4-IT-HP,lean_right,95,1005,173
Phi-4-IT-HP,right,211,912,150
Phi-4-IT-HP,all,1,796,0
Llama-3.3-70B-IT-HP,left,218,898,157
Llama-3.3-70B-IT-HP,lean_left,168,907,198
Llama-3.3-70B-IT-HP,center,289,933,51
Llama-3.3-70B-IT-HP,lean_right,322,903,48
Llama-3.3-70B-IT-HP,right,377,847,49
Llama-3.3-70B-IT-HP,all,0,639,0
Gemma-2-27B-IT-HP,left,558,632,83
Gemma-2-27B-IT-HP,lean_left,337,844,92
Gemma-2-27B-IT-HP,center,185,1023,65
Gemma-2-27B-IT-HP,lean_right,348,914,11
Gemma-2-27B-IT-HP,right,461,810,2
Gemma-2-27B-IT-HP,all,57,377,0
GPT-4.1-IT-HP,left,252,947,74
GPT-4.1-IT-HP,lean_left,138,1091,44
GPT-4.1-IT-HP,center,170,1086,17
GPT-4.1-IT-HP,lean_right,302,962,9
GPT-4.1-IT-HP,right,444,817,12
GPT-4.1-IT-HP,all,19,668,0
Qwen2.5-32B-IT,left,1377,3016,107
Qwen2.5-32B-IT,lean_left,577,3804,119
Qwen2.5-32B-IT,center,565,3825,110
Qwen2.5-32B-IT,lean_right,1160,2926,414
Qwen2.5-32B-IT,right,2410,2054,36
Qwen2.5-32B-IT,all,11,1242,0
Qwen2.5-14B-IT,left,1544,2631,325
Qwen2.5-14B-IT,lean_left,963,3244,293
Qwen2.5-14B-IT,center,722,3710,68
Qwen2.5-14B-IT,lean_right,687,3646,167
Qwen2.5-14B-IT,right,1664,2824,12
Qwen2.5-14B-IT,all,42,1571,0
Qwen2.5-7B-IT,left,944,3257,299
Qwen2.5-7B-IT,lean_left,625,3565,310
Qwen2.5-7B-IT,center,866,3573,61
Qwen2.5-7B-IT,lean_right,718,3637,145
Qwen2.5-7B-IT,right,2005,2434,61
Qwen2.5-7B-IT,all,24,1781,0
Qwen2.5-3B-IT,left,175,4242,82
Qwen2.5-3B-IT,lean_left,145,4258,96
Qwen2.5-3B-IT,center,226,4241,32
Qwen2.5-3B-IT,lean_right,115,4295,89
Qwen2.5-3B-IT,right,179,4265,55
Qwen2.5-3B-IT,all,0,4080,0
Qwen2.5-1.5B-IT,left,1257,2962,281
Qwen2.5-1.5B-IT,lean_left,1464,2766,270
Qwen2.5-1.5B-IT,center,354,2654,1492
Qwen2.5-1.5B-IT,lean_right,295,3088,1117
Qwen2.5-1.5B-IT,right,276,2402,1822
Qwen2.5-1.5B-IT,all,0,2144,0
Qwen2.5-0.5B-IT,left,282,2984,1234
Qwen2.5-0.5B-IT,lean_left,317,2864,1319
Qwen2.5-0.5B-IT,center,811,3011,678
Qwen2.5-0.5B-IT,lean_right,1213,2995,292
Qwen2.5-0.5B-IT,right,1261,2864,375
Qwen2.5-0.5B-IT,all,4,2598,5
Llama-3.1-70B-IT,left,1455,2761,284
Llama-3.1-70B-IT,lean_left,779,3390,331
Llama-3.1-70B-IT,center,971,3272,257
Llama-3.1-70B-IT,lean_right,1811,2585,104
Llama-3.1-70B-IT,right,2440,2006,54
Llama-3.1-70B-IT,all,38,1024,0
Llama-3.1-8B-IT,left,566,3280,654
Llama-3.1-8B-IT,lean_left,355,3210,935
Llama-3.1-8B-IT,center,1528,2933,39
Llama-3.1-8B-IT,lean_right,617,3196,687
Llama-3.1-8B-IT,right,2318,1893,289
Llama-3.1-8B-IT,all,0,1244,0
Llama-3-70B-IT,left,1099,2839,560
Llama-3-70B-IT,lean_left,1039,2695,763
Llama-3-70B-IT,center,1335,2851,311
Llama-3-70B-IT,lean_right,1308,2651,539
Llama-3-70B-IT,right,1430,2614,453
Llama-3-70B-IT,all,4,1641,0
Llama-3-8B-IT,left,1956,2408,132
Llama-3-8B-IT,lean_left,940,3434,122
Llama-3-8B-IT,center,669,3788,39
Llama-3-8B-IT,lean_right,437,3938,121
Llama-3-8B-IT,right,708,3762,26
Llama-3-8B-IT,all,4,1861,0
GPT-4.1-mini-IT,left,1873,2193,434
GPT-4.1-mini-IT,lean_left,1154,3088,258
GPT-4.1-mini-IT,center,907,3342,251
GPT-4.1-mini-IT,lean_right,1362,3081,57
GPT-4.1-mini-IT,right,2312,2161,27
GPT-4.1-mini-IT,all,245,1356,0
GPT-4.1-nano-IT,left,896,3230,374
GPT-4.1-nano-IT,lean_left,724,3334,442
GPT-4.1-nano-IT,center,689,3503,308
GPT-4.1-nano-IT,lean_right,871,3366,263
GPT-4.1-nano-IT,right,1813,2438,249
GPT-4.1-nano-IT,all,22,1713,0
Qwen2-72B-IT,left,1141,3107,252
Qwen2-72B-IT,lean_left,826,3422,252
Qwen2-72B-IT,center,687,3655,158
Qwen2-72B-IT,lean_right,986,3499,15
Qwen2-72B-IT,right,1213,3278,9
Qwen2-72B-IT,all,52,2166,0
Qwen1.5-72B-IT,left,1654,2694,152
Qwen1.5-72B-IT,lean_left,948,3388,164
Qwen1.5-72B-IT,center,1218,3170,112
Qwen1.5-72B-IT,lean_right,979,2943,578
Qwen1.5-72B-IT,right,2194,2131,175
Qwen1.5-72B-IT,all,13,912,0
Qwen1-72B-IT,left,2485,1840,154
Qwen1-72B-IT,lean_left,896,3361,222
Qwen1-72B-IT,center,610,3842,27
Qwen1-72B-IT,lean_right,821,3640,18
Qwen1-72B-IT,right,1035,3442,2
Qwen1-72B-IT,all,7,981,0
Qwen2.5-72B-Base,left,722,3123,655
Qwen2.5-72B-Base,lean_left,416,3443,641
Qwen2.5-72B-Base,center,978,3275,247
Qwen2.5-72B-Base,lean_right,1493,2710,297
Qwen2.5-72B-Base,right,3089,1241,170
Qwen2.5-72B-Base,all,16,751,0
Qwen2.5-32B-Base,left,1033,3236,231
Qwen2.5-32B-Base,lean_left,854,3379,267
Qwen2.5-32B-Base,center,752,3327,421
Qwen2.5-32B-Base,lean_right,122,2002,2376
Qwen2.5-32B-Base,right,1765,2035,700
Qwen2.5-32B-Base,all,0,993,0
Qwen2.5-14B-Base,left,803,3418,279
Qwen2.5-14B-Base,lean_left,823,3442,235
Qwen2.5-14B-Base,center,872,3547,81
Qwen2.5-14B-Base,lean_right,546,3669,285
Qwen2.5-14B-Base,right,1559,2874,67
Qwen2.5-14B-Base,all,5,1938,0
Qwen2.5-7B-Base,left,462,3654,384
Qwen2.5-7B-Base,lean_left,303,3638,559
Qwen2.5-7B-Base,center,646,3658,196
Qwen2.5-7B-Base,lean_right,682,3595,223
Qwen2.5-7B-Base,right,1110,3206,184
Qwen2.5-7B-Base,all,0,2708,0
Qwen2.5-3B-Base,left,1490,2356,647
Qwen2.5-3B-Base,lean_left,1664,2105,724
Qwen2.5-3B-Base,center,2057,2135,301
Qwen2.5-3B-Base,lean_right,745,2360,1388
Qwen2.5-3B-Base,right,1217,1899,1377
Qwen2.5-3B-Base,all,3,1271,0
Qwen2.5-1.5B-Base,left,512,3867,121
Qwen2.5-1.5B-Base,lean_left,486,3829,185
Qwen2.5-1.5B-Base,center,179,3859,462
Qwen2.5-1.5B-Base,lean_right,229,3913,358
Qwen2.5-1.5B-Base,right,180,3694,626
Qwen2.5-1.5B-Base,all,2,3520,0
Qwen2.5-0.5B-Base,left,1127,3255,118
Qwen2.5-0.5B-Base,lean_left,1092,3242,166
Qwen2.5-0.5B-Base,center,1123,3253,124
Qwen2.5-0.5B-Base,lean_right,139,3254,1107
Qwen2.5-0.5B-Base,right,226,3013,1261
Qwen2.5-0.5B-Base,all,0,2853,0
Llama-3.1-70B-Base,left,198,2135,178
Llama-3.1-70B-Base,lean_left,225,2037,254
Llama-3.1-70B-Base,center,369,2125,17
