bias_text,count,ratio,rank,input_media_bias,effect
right,433,0.46310160427807484,1,center,affected
center,259,0.27700534759358286,2,center,affected
left,243,0.25989304812834224,3,center,affected
center,38,0.4318181818181818,1,center,reversely_affected
left,32,0.36363636363636365,2,center,reversely_affected
right,18,0.20454545454545456,3,center,reversely_affected
left,1225,0.35231521426517115,1,center,unaffected
center,1203,0.3459879206212252,2,center,unaffected
right,1049,0.30169686511360366,3,center,unaffected
center,642,0.3950769230769231,1,left,affected
right,605,0.3723076923076923,2,left,affected
left,378,0.2326153846153846,3,left,affected
center,201,0.49144254278728605,1,left,reversely_affected
left,180,0.4400977995110024,2,left,reversely_affected
right,28,0.06845965770171149,3,left,reversely_affected
left,942,0.3819951338199513,1,left,unaffected
right,867,0.3515815085158151,2,left,unaffected
center,657,0.2664233576642336,3,left,unaffected
center,1049,0.5052986512524085,1,right,affected
left,733,0.3530828516377649,2,right,affected
right,294,0.1416184971098266,3,right,affected
right,10,0.5555555555555556,1,right,reversely_affected
center,7,0.3888888888888889,2,right,reversely_affected
left,1,0.05555555555555555,3,right,reversely_affected
right,1196,0.4970906068162926,1,right,unaffected
left,766,0.3183707398171239,2,right,unaffected
center,444,0.18453865336658354,3,right,unaffected
