Model,MediaBias,Case,Count
GPT-4.1-IT,center,neutral,3477
GPT-4.1-IT,center,reversal,1023
GPT-4.1-IT,lean_left,amplify,846
GPT-4.1-IT,lean_left,confirmation,1006
GPT-4.1-IT,lean_left,neutral,2435
GPT-4.1-IT,lean_left,reversal,213
GPT-4.1-IT,lean_right,amplify,1526
GPT-4.1-IT,lean_right,confirmation,1310
GPT-4.1-IT,lean_right,neutral,1638
GPT-4.1-IT,lean_right,reversal,26
GPT-4.1-IT,left,amplify,1625
GPT-4.1-IT,left,confirmation,806
GPT-4.1-IT,left,neutral,1660
GPT-4.1-IT,left,reversal,409
GPT-4.1-IT,right,amplify,2076
GPT-4.1-IT,right,confirmation,1314
GPT-4.1-IT,right,neutral,1092
GPT-4.1-IT,right,reversal,18
GPT-4.1-IT-HP,center,neutral,1086
GPT-4.1-IT-HP,center,reversal,187
GPT-4.1-IT-HP,lean_left,amplify,138
GPT-4.1-IT-HP,lean_left,confirmation,379
GPT-4.1-IT-HP,lean_left,neutral,712
GPT-4.1-IT-HP,lean_left,reversal,44
GPT-4.1-IT-HP,lean_right,amplify,302
GPT-4.1-IT-HP,lean_right,confirmation,473
GPT-4.1-IT-HP,lean_right,neutral,489
GPT-4.1-IT-HP,lean_right,reversal,9
GPT-4.1-IT-HP,left,amplify,252
GPT-4.1-IT-HP,left,confirmation,354
GPT-4.1-IT-HP,left,neutral,593
GPT-4.1-IT-HP,left,reversal,74
GPT-4.1-IT-HP,right,amplify,444
GPT-4.1-IT-HP,right,confirmation,470
GPT-4.1-IT-HP,right,neutral,347
GPT-4.1-IT-HP,right,reversal,12
GPT-4.1-mini-IT,center,neutral,3342
GPT-4.1-mini-IT,center,reversal,1158
GPT-4.1-mini-IT,lean_left,amplify,1154
GPT-4.1-mini-IT,lean_left,confirmation,1290
GPT-4.1-mini-IT,lean_left,neutral,1798
GPT-4.1-mini-IT,lean_left,reversal,258
GPT-4.1-mini-IT,lean_right,amplify,1362
GPT-4.1-mini-IT,lean_right,confirmation,1177
GPT-4.1-mini-IT,lean_right,neutral,1904
GPT-4.1-mini-IT,lean_right,reversal,57
GPT-4.1-mini-IT,left,amplify,1873
GPT-4.1-mini-IT,left,confirmation,1107
GPT-4.1-mini-IT,left,neutral,1086
GPT-4.1-mini-IT,left,reversal,434
GPT-4.1-mini-IT,right,amplify,2312
GPT-4.1-mini-IT,right,confirmation,1177
GPT-4.1-mini-IT,right,neutral,984
GPT-4.1-mini-IT,right,reversal,27
GPT-4.1-nano-IT,center,neutral,3503
GPT-4.1-nano-IT,center,reversal,997
GPT-4.1-nano-IT,lean_left,amplify,724
GPT-4.1-nano-IT,lean_left,confirmation,501
GPT-4.1-nano-IT,lean_left,neutral,2833
GPT-4.1-nano-IT,lean_left,reversal,442
GPT-4.1-nano-IT,lean_right,amplify,871
GPT-4.1-nano-IT,lean_right,confirmation,1183
GPT-4.1-nano-IT,lean_right,neutral,2183
GPT-4.1-nano-IT,lean_right,reversal,263
GPT-4.1-nano-IT,left,amplify,896
GPT-4.1-nano-IT,left,confirmation,544
GPT-4.1-nano-IT,left,neutral,2686
GPT-4.1-nano-IT,left,reversal,374
GPT-4.1-nano-IT,right,amplify,1813
GPT-4.1-nano-IT,right,confirmation,1212
GPT-4.1-nano-IT,right,neutral,1226
GPT-4.1-nano-IT,right,reversal,249
Gemma-2-27B-IT,center,neutral,3184
Gemma-2-27B-IT,center,reversal,1316
Gemma-2-27B-IT,lean_left,amplify,1815
Gemma-2-27B-IT,lean_left,confirmation,660
Gemma-2-27B-IT,lean_left,neutral,1588
Gemma-2-27B-IT,lean_left,reversal,437
Gemma-2-27B-IT,lean_right,amplify,1465
Gemma-2-27B-IT,lean_right,confirmation,2651
Gemma-2-27B-IT,lean_right,neutral,278
Gemma-2-27B-IT,lean_right,reversal,106
Gemma-2-27B-IT,left,amplify,2768
Gemma-2-27B-IT,left,confirmation,584
Gemma-2-27B-IT,left,neutral,753
Gemma-2-27B-IT,left,reversal,395
Gemma-2-27B-IT,right,amplify,1726
Gemma-2-27B-IT,right,confirmation,2730
Gemma-2-27B-IT,right,neutral,22
Gemma-2-27B-IT,right,reversal,22
Gemma-2-27B-IT-HP,center,neutral,1023
Gemma-2-27B-IT-HP,center,reversal,250
Gemma-2-27B-IT-HP,lean_left,amplify,337
Gemma-2-27B-IT-HP,lean_left,confirmation,258
Gemma-2-27B-IT-HP,lean_left,neutral,586
Gemma-2-27B-IT-HP,lean_left,reversal,92
Gemma-2-27B-IT-HP,lean_right,amplify,348
Gemma-2-27B-IT-HP,lean_right,confirmation,788
Gemma-2-27B-IT-HP,lean_right,neutral,126
Gemma-2-27B-IT-HP,lean_right,reversal,11
Gemma-2-27B-IT-HP,left,amplify,558
Gemma-2-27B-IT-HP,left,confirmation,247
Gemma-2-27B-IT-HP,left,neutral,385
Gemma-2-27B-IT-HP,left,reversal,83
Gemma-2-27B-IT-HP,right,amplify,461
Gemma-2-27B-IT-HP,right,confirmation,795
Gemma-2-27B-IT-HP,right,neutral,15
Gemma-2-27B-IT-HP,right,reversal,2
Llama-3-70B-IT,center,neutral,2853
Llama-3-70B-IT,center,reversal,1647
Llama-3-70B-IT,lean_left,amplify,1039
Llama-3-70B-IT,lean_left,confirmation,866
Llama-3-70B-IT,lean_left,neutral,1831
Llama-3-70B-IT,lean_left,reversal,764
Llama-3-70B-IT,lean_right,amplify,1308
Llama-3-70B-IT,lean_right,confirmation,1486
Llama-3-70B-IT,lean_right,neutral,1166
Llama-3-70B-IT,lean_right,reversal,540
Llama-3-70B-IT,left,amplify,1099
Llama-3-70B-IT,left,confirmation,1038
Llama-3-70B-IT,left,neutral,1803
Llama-3-70B-IT,left,reversal,560
Llama-3-70B-IT,right,amplify,1431
Llama-3-70B-IT,right,confirmation,1557
Llama-3-70B-IT,right,neutral,1058
Llama-3-70B-IT,right,reversal,454
Llama-3-8B-IT,center,neutral,3791
Llama-3-8B-IT,center,reversal,709
Llama-3-8B-IT,lean_left,amplify,941
Llama-3-8B-IT,lean_left,confirmation,432
Llama-3-8B-IT,lean_left,neutral,3005
Llama-3-8B-IT,lean_left,reversal,122
Llama-3-8B-IT,lean_right,amplify,437
Llama-3-8B-IT,lean_right,confirmation,3652
Llama-3-8B-IT,lean_right,neutral,289
Llama-3-8B-IT,lean_right,reversal,122
Llama-3-8B-IT,left,amplify,1957
Llama-3-8B-IT,left,confirmation,415
Llama-3-8B-IT,left,neutral,1996
Llama-3-8B-IT,left,reversal,132
Llama-3-8B-IT,right,amplify,708
Llama-3-8B-IT,right,confirmation,3742
Llama-3-8B-IT,right,neutral,23
Llama-3-8B-IT,right,reversal,27
Llama-3.1-70B-Base,center,neutral,2130
Llama-3.1-70B-Base,center,reversal,421
Llama-3.1-70B-Base,lean_left,amplify,252
Llama-3.1-70B-Base,lean_left,confirmation,1970
Llama-3.1-70B-Base,lean_left,neutral,70
Llama-3.1-70B-Base,lean_left,reversal,259
Llama-3.1-70B-Base,lean_right,amplify,265
Llama-3.1-70B-Base,lean_right,confirmation,91
Llama-3.1-70B-Base,lean_right,neutral,1976
Llama-3.1-70B-Base,lean_right,reversal,219
Llama-3.1-70B-Base,left,amplify,225
Llama-3.1-70B-Base,left,confirmation,2041
Llama-3.1-70B-Base,left,neutral,98
Llama-3.1-70B-Base,left,reversal,187
Llama-3.1-70B-Base,right,amplify,288
Llama-3.1-70B-Base,right,confirmation,118
Llama-3.1-70B-Base,right,neutral,1952
Llama-3.1-70B-Base,right,reversal,193
Llama-3.1-70B-IT,center,neutral,3272
Llama-3.1-70B-IT,center,reversal,1228
Llama-3.1-70B-IT,lean_left,amplify,779
Llama-3.1-70B-IT,lean_left,confirmation,598
Llama-3.1-70B-IT,lean_left,neutral,2792
Llama-3.1-70B-IT,lean_left,reversal,331
Llama-3.1-70B-IT,lean_right,amplify,1811
Llama-3.1-70B-IT,lean_right,confirmation,1553
Llama-3.1-70B-IT,lean_right,neutral,1032
Llama-3.1-70B-IT,lean_right,reversal,104
Llama-3.1-70B-IT,left,amplify,1455
Llama-3.1-70B-IT,left,confirmation,584
Llama-3.1-70B-IT,left,neutral,2177
Llama-3.1-70B-IT,left,reversal,284
Llama-3.1-70B-IT,right,amplify,2440
Llama-3.1-70B-IT,right,confirmation,1578
Llama-3.1-70B-IT,right,neutral,428
Llama-3.1-70B-IT,right,reversal,54
Llama-3.1-8B-Base,center,neutral,3564
Llama-3.1-8B-Base,center,reversal,936
Llama-3.1-8B-Base,lean_left,amplify,477
Llama-3.1-8B-Base,lean_left,confirmation,3120
Llama-3.1-8B-Base,lean_left,neutral,449
Llama-3.1-8B-Base,lean_left,reversal,454
Llama-3.1-8B-Base,lean_right,amplify,714
Llama-3.1-8B-Base,lean_right,confirmation,628
Llama-3.1-8B-Base,lean_right,neutral,2860
Llama-3.1-8B-Base,lean_right,reversal,298
Llama-3.1-8B-Base,left,amplify,307
Llama-3.1-8B-Base,left,confirmation,3028
Llama-3.1-8B-Base,left,neutral,619
Llama-3.1-8B-Base,left,reversal,546
Llama-3.1-8B-Base,right,amplify,1178
Llama-3.1-8B-Base,right,confirmation,710
Llama-3.1-8B-Base,right,neutral,2396
Llama-3.1-8B-Base,right,reversal,216
Llama-3.1-8B-IT,center,neutral,2933
Llama-3.1-8B-IT,center,reversal,1567
Llama-3.1-8B-IT,lean_left,amplify,355
Llama-3.1-8B-IT,lean_left,confirmation,2241
Llama-3.1-8B-IT,lean_left,neutral,969
Llama-3.1-8B-IT,lean_left,reversal,935
Llama-3.1-8B-IT,lean_right,amplify,617
Llama-3.1-8B-IT,lean_right,confirmation,295
Llama-3.1-8B-IT,lean_right,neutral,2901
Llama-3.1-8B-IT,lean_right,reversal,687
Llama-3.1-8B-IT,left,amplify,566
Llama-3.1-8B-IT,left,confirmation,2516
Llama-3.1-8B-IT,left,neutral,764
Llama-3.1-8B-IT,left,reversal,654
Llama-3.1-8B-IT,right,amplify,2318
Llama-3.1-8B-IT,right,confirmation,472
Llama-3.1-8B-IT,right,neutral,1421
Llama-3.1-8B-IT,right,reversal,289
Llama-3.3-70B-IT,center,neutral,2895
Llama-3.3-70B-IT,center,reversal,1506
Llama-3.3-70B-IT,lean_left,amplify,922
Llama-3.3-70B-IT,lean_left,confirmation,269
Llama-3.3-70B-IT,lean_left,neutral,2595
Llama-3.3-70B-IT,lean_left,reversal,615
Llama-3.3-70B-IT,lean_right,amplify,1133
Llama-3.3-70B-IT,lean_right,confirmation,2905
Llama-3.3-70B-IT,lean_right,neutral,206
Llama-3.3-70B-IT,lean_right,reversal,157
Llama-3.3-70B-IT,left,amplify,1320
Llama-3.3-70B-IT,left,confirmation,352
Llama-3.3-70B-IT,left,neutral,2191
Llama-3.3-70B-IT,left,reversal,538
Llama-3.3-70B-IT,right,amplify,1252
Llama-3.3-70B-IT,right,confirmation,2895
Llama-3.3-70B-IT,right,neutral,87
Llama-3.3-70B-IT,right,reversal,167
Llama-3.3-70B-IT-HP,center,neutral,933
Llama-3.3-70B-IT-HP,center,reversal,340
Llama-3.3-70B-IT-HP,lean_left,amplify,168
Llama-3.3-70B-IT-HP,lean_left,confirmation,93
Llama-3.3-70B-IT-HP,lean_left,neutral,814
Llama-3.3-70B-IT-HP,lean_left,reversal,198
Llama-3.3-70B-IT-HP,lean_right,amplify,322
Llama-3.3-70B-IT-HP,lean_right,confirmation,801
Llama-3.3-70B-IT-HP,lean_right,neutral,102
Llama-3.3-70B-IT-HP,lean_right,reversal,48
Llama-3.3-70B-IT-HP,left,amplify,218
Llama-3.3-70B-IT-HP,left,confirmation,126
Llama-3.3-70B-IT-HP,left,neutral,772
Llama-3.3-70B-IT-HP,left,reversal,157
Llama-3.3-70B-IT-HP,right,amplify,377
Llama-3.3-70B-IT-HP,right,confirmation,800
Llama-3.3-70B-IT-HP,right,neutral,47
Llama-3.3-70B-IT-HP,right,reversal,49
Mistral-Small-24B-Base,center,neutral,3090
Mistral-Small-24B-Base,center,reversal,1410
Mistral-Small-24B-Base,lean_left,amplify,1030
Mistral-Small-24B-Base,lean_left,confirmation,2065
Mistral-Small-24B-Base,lean_left,neutral,379
Mistral-Small-24B-Base,lean_left,reversal,1026
Mistral-Small-24B-Base,lean_right,amplify,1730
Mistral-Small-24B-Base,lean_right,confirmation,729
Mistral-Small-24B-Base,lean_right,neutral,1621
Mistral-Small-24B-Base,lean_right,reversal,420
Mistral-Small-24B-Base,left,amplify,1500
Mistral-Small-24B-Base,left,confirmation,2457
Mistral-Small-24B-Base,left,neutral,17
Mistral-Small-24B-Base,left,reversal,526
Mistral-Small-24B-Base,right,amplify,1228
Mistral-Small-24B-Base,right,confirmation,705
Mistral-Small-24B-Base,right,neutral,2070
Mistral-Small-24B-Base,right,reversal,497
Mistral-Small-24B-IT,center,neutral,2747
Mistral-Small-24B-IT,center,reversal,1753
Mistral-Small-24B-IT,lean_left,amplify,1316
Mistral-Small-24B-IT,lean_left,confirmation,238
Mistral-Small-24B-IT,lean_left,neutral,2666
Mistral-Small-24B-IT,lean_left,reversal,280
Mistral-Small-24B-IT,lean_right,amplify,1456
Mistral-Small-24B-IT,lean_right,confirmation,2974
Mistral-Small-24B-IT,lean_right,neutral,65
Mistral-Small-24B-IT,lean_right,reversal,5
Mistral-Small-24B-IT,left,amplify,2834
Mistral-Small-24B-IT,left,confirmation,252
Mistral-Small-24B-IT,left,neutral,1126
Mistral-Small-24B-IT,left,reversal,288
Mistral-Small-24B-IT,right,amplify,1505
Mistral-Small-24B-IT,right,confirmation,2979
Mistral-Small-24B-IT,right,neutral,16
Mistral-Small-24B-IT-HP,center,neutral,898
Mistral-Small-24B-IT-HP,center,reversal,375
Mistral-Small-24B-IT-HP,lean_left,amplify,280
Mistral-Small-24B-IT-HP,lean_left,confirmation,159
Mistral-Small-24B-IT-HP,lean_left,neutral,769
Mistral-Small-24B-IT-HP,lean_left,reversal,65
Mistral-Small-24B-IT-HP,lean_right,amplify,393
Mistral-Small-24B-IT-HP,lean_right,confirmation,784
Mistral-Small-24B-IT-HP,lean_right,neutral,91
Mistral-Small-24B-IT-HP,lean_right,reversal,5
Mistral-Small-24B-IT-HP,left,amplify,647
Mistral-Small-24B-IT-HP,left,confirmation,164
Mistral-Small-24B-IT-HP,left,neutral,397
Mistral-Small-24B-IT-HP,left,reversal,65
Mistral-Small-24B-IT-HP,right,amplify,467
Mistral-Small-24B-IT-HP,right,confirmation,788
Mistral-Small-24B-IT-HP,right,neutral,17
Mistral-Small-24B-IT-HP,right,reversal,1
Phi-4-IT,center,neutral,3074
Phi-4-IT,center,reversal,1327
Phi-4-IT,lean_left,amplify,988
Phi-4-IT,lean_left,confirmation,2336
Phi-4-IT,lean_left,neutral,713
Phi-4-IT,lean_left,reversal,364
Phi-4-IT,lean_right,amplify,735
Phi-4-IT,lean_right,confirmation,1035
Phi-4-IT,lean_right,neutral,2082
Phi-4-IT,lean_right,reversal,549
Phi-4-IT,left,amplify,1480
Phi-4-IT,left,confirmation,2339
Phi-4-IT,left,neutral,230
Phi-4-IT,left,reversal,352
Phi-4-IT,right,amplify,1807
Phi-4-IT,right,confirmation,1241
Phi-4-IT,right,neutral,1027
Phi-4-IT,right,reversal,326
Phi-4-IT-HP,center,neutral,997
Phi-4-IT-HP,center,reversal,276
Phi-4-IT-HP,lean_left,amplify,207
Phi-4-IT-HP,lean_left,confirmation,683
Phi-4-IT-HP,lean_left,neutral,313
Phi-4-IT-HP,lean_left,reversal,70
Phi-4-IT-HP,lean_right,amplify,95
Phi-4-IT-HP,lean_right,confirmation,331
Phi-4-IT-HP,lean_right,neutral,674
Phi-4-IT-HP,lean_right,reversal,173
Phi-4-IT-HP,left,amplify,256
Phi-4-IT-HP,left,confirmation,684
Phi-4-IT-HP,left,neutral,264
Phi-4-IT-HP,left,reversal,69
Phi-4-IT-HP,right,amplify,211
